"mfcc1_mean","mfcc1_sd","mfcc2_mean","mfcc2_sd","mfcc3_mean","mfcc3_sd","mfcc4_mean","mfcc4_sd","mfcc5_mean","mfcc5_sd","mfcc6_mean","mfcc6_sd","mfcc7_mean","mfcc7_sd","mfcc8_mean","mfcc8_sd","mfcc9_mean","mfcc9_sd","mfcc10_mean","mfcc10_sd","mfcc11_mean","mfcc11_sd","mfcc12_mean","mfcc12_sd","mfcc13_mean","mfcc13_sd","tempo","centroid_mean","centroid_sd","rms_mean","rms_sd","harmonic_rms_mean","percussive_rms_mean","perc_harm_ratio","file","day_night","cluster"
-125.58849,71.997955,90.57264,23.5897,-13.987828,19.710371,16.829199,10.270845,4.104938,9.785324,8.012372,8.846744,-2.0851583,8.730551,6.4970317,8.44821,-1.798473,7.2573204,3.3513677,7.3350544,-3.6080244,6.6953087,3.2922325,7.600135,-2.4598935,8.097446,92.28515625,2370.60535433169,567.857446957458,0.08967294,0.026870772,0.074577264,0.025628055,0.343639727882635,"Wii Daisy Circuit (Mario Kart Wii) (Day) - Mario Kart World (OST).wav","Day","2"
-236.85204,81.77401,130.97777,27.692347,6.640815,23.028221,30.953306,11.467033,11.207912,11.158885,9.028428,8.834244,0.13664773,9.281246,3.9657552,11.007802,-2.1363142,11.553933,5.88665,10.466354,-5.066313,10.553328,-2.0837808,9.74481,-1.7698663,10.996075,129.19921875,1380.7596029486,495.666046290121,0.06879733,0.028115239,0.059735853,0.016947595,0.283704187409521,"Piranha Plant's Lullaby (Super Mario 64) - Mario Kart World (OST).wav","","4"
-118.79895,54.88221,95.49484,13.536058,3.1371613,11.053809,37.650097,8.23888,11.985476,7.11574,8.215512,6.7828674,2.3661742,7.219346,4.051502,7.231422,-2.2917857,7.156769,3.2534873,7.7099605,-4.793114,7.859156,4.033695,8.904387,-1.5864774,8.1055155,99.38401442,2090.1837183818,374.568096035052,0.10351659,0.025943164,0.07492896,0.04010149,0.535186326111575,"Puzzle Plank Galaxy (Super Mario Galaxy 2) - Mario Kart World (OST).wav","","1"
-187.5892,74.662796,71.55447,25.270046,20.9144,20.852766,47.364063,14.165444,9.1766615,10.575411,15.533881,11.548431,3.5192304,11.531866,7.503024,8.776866,2.3855696,8.954949,4.4050455,10.251348,-1.6329619,10.793399,5.7389703,10.060433,1.4797394,11.012675,129.19921875,2358.872406828,776.732205626968,0.08897982,0.04235379,0.05750366,0.04193286,0.729208016412623,"SNES Choco Island (Super Mario Kart) (Night) - Mario Kart World (OST).wav","Night","2"
-101.71041,56.344467,78.88616,13.370597,-3.1352527,8.932202,36.730286,8.867396,3.988119,7.1704097,13.249561,6.3911896,-0.23289841,6.262384,7.9361663,6.231487,0.7500297,6.179216,2.7903585,6.06432,-0.85215396,6.4596024,5.7536764,6.0812917,-2.4007108,6.625731,151.99908088,2531.1544927872,404.673914015576,0.0894848,0.020794041,0.059978347,0.03911333,0.652113325090982,"Egg Planet (Super Mario Galaxy) - Mario Kart World (OST).wav","","1"
-138.21414,76.9089,124.77564,26.67007,17.793062,18.105427,29.504314,12.814045,15.07549,9.994358,8.002856,8.244195,1.2461475,9.298107,8.410366,7.877149,-2.242997,8.141592,7.0650125,8.365029,1.1179367,9.277954,1.6407995,8.404335,0.8509382,8.910459,143.5546875,1376.64466685285,544.838783076688,0.21139987,0.09137499,0.17147869,0.06119832,0.356883784299494,"Wii Maple Treeway (Mario Kart Wii) - Mario Kart World (OST).wav","","3"
-188.6514,72.7291,60.735332,23.432043,6.603002,17.343903,38.144043,14.789991,2.6935472,9.920722,14.828739,10.194339,4.0389605,8.79818,9.143222,8.974611,4.085845,7.923497,6.383282,8.80075,-0.6811501,8.790363,2.8270552,9.053951,-0.42794037,8.480417,117.45383523,2851.03749080215,677.133505359416,0.04982895,0.019492265,0.029882303,0.026138462,0.874684520543508,"Athletic BGM (Super Mario Bros. 3) - Mario Kart World (OST).wav","","2"
-181.42615,71.31959,102.842575,20.70174,21.619377,14.234728,20.017412,13.862312,9.828582,12.130392,11.875786,9.316667,4.194586,8.828158,7.8638983,8.352357,-1.0541947,7.827865,6.115035,8.002464,-0.8683416,8.152685,-1.0386987,7.450482,-1.9083426,7.162994,151.99908088,1951.49961779308,567.683735138228,0.079971224,0.027656253,0.056015216,0.03277998,0.585187342173327,"DS Yoshi Falls (Mario Kart DS) - Mario Kart World (OST).wav","","2"
-204.48068,74.17459,100.387054,25.755165,-12.357317,18.676357,42.998314,14.262298,6.231031,9.245622,7.9019785,8.453993,-3.9125755,7.6023207,3.2596915,8.710156,1.0068656,7.8136764,1.9230044,7.3083606,-5.7475443,7.3388124,3.2719877,7.4721146,-3.8499873,7.1849732,107.66601562,2037.43844988545,552.038822267565,0.045821935,0.0130687235,0.031836394,0.018998133,0.596723867756927,"Starship Mario (Super Mario Galaxy 2) - Mario Kart World (OST).wav","","2"
-117.23253,48.53842,83.60681,22.002712,0.35349262,15.176922,26.22053,12.7966385,8.274793,10.499331,10.054367,8.959373,-0.75413495,8.1036825,10.767143,8.060088,1.0015949,8.632422,7.4828377,9.464188,-3.0154994,9.183352,2.6211348,9.417839,0.9218931,8.4799,103.359375,2438.04094462024,590.487179026174,0.10463889,0.040099584,0.07054697,0.04892034,0.693433716017305,"Shifty Ghost Mansion (Super Mario 3D World) - Mario Kart World (OST).wav","","3"
-156.65892,74.72192,121.564896,28.466703,-23.731367,18.326113,40.27143,14.303874,4.978173,10.710584,15.026025,10.454695,-2.8695726,8.069094,1.6296432,8.150079,-7.295951,7.5021877,2.7911813,7.7911305,-5.5356193,8.038078,-1.7464116,8.447782,-1.9475764,7.7400746,129.19921875,1662.06348100847,452.66653886519,0.09722156,0.03413316,0.080291525,0.028436815,0.354165167091194,"Dire, Dire Docks (Super Mario 64) - Mario Kart World (OST).wav","","2"
-94.71802,47.302013,76.24754,18.174162,-19.300758,17.737043,38.713715,11.7457075,7.8732457,11.974313,11.163125,8.244593,-0.24058236,8.94345,3.9668372,7.499107,2.0552168,7.388501,3.7032557,6.9344783,0.73627394,6.9372425,3.4925873,6.2996426,2.6543748,6.498664,107.66601562,2552.14159834838,455.079304873255,0.09921975,0.030716335,0.06378066,0.048056975,0.753460737049871,"Easton Kingdom (Underground) (Super Mario Land) - Mario Kart World (OST).wav","","3"
-94.34157,29.025515,70.58505,17.43297,-35.001194,15.728323,41.68616,11.76937,-7.0553856,9.942656,7.2419796,9.194664,1.6261053,8.8960285,10.903966,9.011613,1.7886688,9.517617,0.06455361,7.9799533,4.234251,8.285083,3.4915066,7.2821746,-2.4039712,7.408239,161.49902344,2781.84967274821,334.372761871757,0.07814914,0.013975825,0.05310711,0.033236597,0.625829038328016,"Break Free (Lead The Way) (Super Mario Odyssey) - Mario Kart World (OST).wav","","3"
-96.42983,43.471367,91.34116,12.7471895,8.082247,9.653953,28.716894,7.937082,6.2030478,6.4227695,6.4740095,6.63568,-1.3010501,6.791844,5.7463527,6.339175,1.3279248,6.185852,3.1588802,7.0834193,-1.8874147,7.103882,4.101192,7.60414,-1.1671871,7.483339,99.38401442,2274.14096859846,359.901385065278,0.11751123,0.026462948,0.09336559,0.035876334,0.384252383569748,"Purple Comet (Super Mario Galaxy) - Mario Kart World (OST).wav","","1"
